id,customer_id,status,created_at,backer_id,shipto_address,shipto_state,shipto_postalcode,subtotal,tax,store_name,delivery_amount,order_total,delivered_at
142,118,Out for Delivery,1399154653,145,418 Doe Crossing Way,IA,69557-8905,203,12.18,UberMelon,8.57,223.75,
144,78,Canceled,1396684353,4,1694 Clove Avenue,NC,48081,69,4.14,UberFresh,18.94,92.08,
148,679,Out for Delivery,1397893499,1,15 Packers Lane,MS,10178-1760,763.96,45.8376,UberFresh,5.38,815.1776,
149,532,Out for Delivery,1398297807,50,8542 Mendota Junction,MT,47367,92.05,5.523,UberMelon,17.77,115.343,
150,691,Out for Delivery,1401043511,86,5 Forster Lane,TX,84525,324,19.44,UberFresh,13.21,356.65,
151,716,Canceled,1399666436,,68192 Grasskamp Trail,VA,54672-3338,58.75,3.525,UberMelonX,16.31,78.585,
153,1,Processing,1396538575,,49731 Northview Avenue,MD,77134-6809,51.25,3.075,UberFresh,8.63,62.955,
154,977,Out for Delivery,1396726637,78,45873 Dakota Park,SD,29802,48.5,2.91,UberMelonX,11.57,62.98,
155,206,Out for Delivery,1400060172,180,7 Bultman Trail,NE,87259,73.75,4.425,UberMelon,3.43,81.605,
156,276,New,1400529953,,23 Cherokee Alley,KS,50237-2894,75,4.5,UberMelonX,4.95,84.45,
157,554,Delivered,1401678848,,2803 Ruskin Parkway,UT,89198,526.5,31.59,UberMelon,14.68,572.77,1401804946
158,793,Delivered,1396921361,123,01796 Lien Point,CT,06336-2047,583.5,35.01,UberMelonX,8.06,626.57,1397009215
159,254,New,1397388759,,78512 Commercial Pass,CA,22433-1128,294,17.64,UberFresh,12.96,324.6,
160,490,Canceled,1397226990,176,2 Sugar Way,NV,59126,34.5,2.07,UberMelonX,10.96,47.53,
161,877,Processing,1397493618,122,0 Oak Lane,TX,68428,32.72,1.9632,UberFresh,16.74,51.4232,
163,96,New,1399434548,,32 Lotheville Hill,NH,54433,188.5,11.31,UberMelon,19.17,218.98,
165,985,Delivered,1398521030,76,981 Londonderry Circle,OR,33023-8414,128.13,7.6878,UberMelonX,4.35,140.1678,1398691068
166,868,New,1396871822,,95341 Cordelia Parkway,AK,15806-3492,308.75,18.525,UberMelon,18.94,346.215,
168,520,Canceled,1401628944,,70321 Express Lane,WA,56147,259,15.54,UberMelonX,13.05,287.59,
171,915,Out for Delivery,1398416311,,681 Lukken Hill,KS,12897-0512,381.5,22.89,UberMelon,4.82,409.21,
172,538,New,1399101328,53,23 Gina Hill,NE,17145-8770,46.25,2.775,UberFresh,17.74,66.765,
174,334,Delivered,1400672667,,4 Mallard Drive,VA,22461-9983,303.25,18.195,UberMelon,13.92,335.365,1400684730
175,332,Processing,1401115309,133,9 Trailsway Hill,MN,52015-2592,22,1.32,UberMelonX,7,30.32,
176,606,Delivered,1396076543,146,70 High Crossing Drive,MT,43772-2570,29.5,1.77,UberMelonX,11.19,42.46,1396180461
177,548,New,1402275134,85,1 Westerfield Trail,SC,86702,100.5,6.03,UberMelon,19.35,125.88,
179,833,New,1399855800,,9718 Portage Plaza,IL,57875-7796,58.5,3.51,UberFresh,14.69,76.7,
180,659,New,1398109955,145,8390 Eliot Alley,CO,74272-3566,59,3.54,UberMelon,4.25,66.79,
181,964,Processing,1394719544,26,365 Sugar Trail,AL,19321,27.5,1.65,UberFresh,8.13,37.28,
183,657,Out for Delivery,1396204599,221,87435 Trailsway Crossing,OH,22377-0486,53,3.18,UberFresh,11.48,67.66,
184,847,Delivered,1396769585,146,14265 Del Sol Junction,MN,86710,69,4.14,UberMelonX,15.55,88.69,1396904438
185,294,Processing,1398838373,,28154 Forest Hill,NC,75311-7034,108.94,6.5364,UberFresh,19.18,134.6564,
186,990,Canceled,1401917267,,65498 Bowman Plaza,NC,17797-3626,30,1.8,UberFresh,9.08,40.88,
187,635,Delivered,1401696277,99,597 Kropf Alley,GA,32295,62,3.72,UberMelon,9.98,75.7,1401751307
188,994,Processing,1395652634,119,658 Dorton Terrace,OR,46197,45.5,2.73,UberMelonX,7.06,55.29,
189,400,Processing,1402200648,4,57 Russell Hill,NV,77127,30.75,1.845,UberMelon,18.75,51.345,
190,247,Delivered,1396317715,184,7139 Merrick Hill,AK,69973-8766,52.5,3.15,UberFresh,15.87,71.52,1396398122
193,689,Processing,1395854619,250,0 Harper Junction,TX,31827,48,2.88,UberMelonX,13.1,63.98,
194,245,Processing,1394082993,84,3019 Anthes Crossing,OR,52055,25,1.5,UberFresh,13.51,40.01,
195,557,Delivered,1394962185,92,597 Trailsway Circle,MO,22318-0128,33.75,2.025,UberMelon,11.03,46.805,1395057333
198,837,New,1397491636,,57 High Crossing Plaza,PA,37388,117,7.02,UberFresh,6.16,130.18,
199,274,Canceled,1397637949,5,418 Sachs Hill,NH,51294,21.94,1.3164,UberFresh,19.32,42.5764,
200,506,New,1400295615,220,1 Towne Center,MN,43567-8134,60.75,3.645,UberMelonX,13.92,78.315,
201,472,Delivered,1398026250,,1 Swallow Circle,NY,94572,66.25,3.975,UberMelonX,6.16,76.385,1398203126
202,679,New,1399456301,68,15 Packers Lane,MS,10178-1760,156,9.36,UberMelon,13.3,178.66,
205,251,Canceled,1398217498,,31840 Oak Plaza,GA,40624,65,3.9,UberMelon,6.59,75.49,
207,564,New,1393983368,139,9534 New Castle Lane,MD,96204,195,11.7,UberFresh,9.76,216.46,
208,149,New,1395966909,191,2683 Calypso Trail,MT,35849,2287.5,137.25,UberMelonX,12.78,2437.53,
209,780,Canceled,1394053694,92,3857 Dayton Junction,MN,45104-9223,52.5,3.15,UberFresh,13.28,68.93,
210,650,New,1397680465,169,093 Division Circle,WV,10745,28,1.68,UberMelonX,19.33,49.01,
211,929,New,1398097874,156,051 Schlimgen Place,TX,34305,763.5,45.81,UberMelonX,6.61,815.92,
212,388,Canceled,1398072710,81,827 Carberry Drive,TX,47689,221.5,13.29,UberMelonX,13.14,247.93,
213,150,New,1396618101,,23970 Commercial Center,NM,47950,246.97,14.8182,UberFresh,2.85,264.6382,
214,498,Processing,1398666722,60,7923 1st Avenue,NV,58180-6945,42.25,2.535,UberMelon,15.36,60.145,
215,613,Processing,1394196958,153,38 Elka Street,NV,41397-4159,91,5.46,UberMelonX,4.61,101.07,
216,433,Out for Delivery,1400990264,,940 Darwin Plaza,AK,22805-9732,55,3.3,UberFresh,5.18,63.48,
217,496,New,1401557945,,7 Warbler Center,CO,53561,46,2.76,UberFresh,17.86,66.62,
218,279,New,1399092925,,81034 Debra Plaza,KS,80464,247.97,14.8782,UberFresh,7.65,270.4982,
219,443,Delivered,1397401411,11,1 Crownhardt Street,CO,22091-1102,64.25,3.855,UberFresh,4.54,72.645,1397556079
220,211,Delivered,1398911916,172,0 Lillian Street,NH,57168,64.5,3.87,UberMelonX,7.06,75.43,1399021869
222,928,Canceled,1396373046,15,56 Monterey Court,WA,73141,247.5,14.85,UberFresh,19.98,282.33,
224,851,Delivered,1396253154,94,6142 Clarendon Court,RI,88519-3427,302.75,18.165,UberFresh,12.04,332.955,1396314258
226,440,Delivered,1394632139,176,578 Delaware Road,GA,46690,439,26.34,UberMelon,3.51,468.85,1394773898
227,793,Delivered,1402022207,,01796 Lien Point,CT,06336-2047,380,22.8,UberFresh,6.22,409.02,1402107052
228,549,Processing,1396450825,223,485 Mariners Cove Crossing,MT,4849,66,3.96,UberMelonX,4.06,74.02,
229,180,Out for Delivery,1402458911,194,0 Old Gate Pass,OR,19328-3208,189,11.34,UberFresh,11.03,211.37,
230,694,Delivered,1398942310,55,2046 Hoepker Lane,MN,10479-6189,270,16.2,UberFresh,8.24,294.44,1398977327
232,548,New,1396938486,167,2164 Little Fleur Street,OR,56060-9209,19.25,1.155,UberFresh,10.94,31.345,
233,811,Canceled,1395892483,,1 Fremont Junction,NY,30030,26.75,1.605,UberMelonX,17.03,45.385,
234,595,Out for Delivery,1400981029,124,869 Sherman Road,MT,44570-3133,156.75,9.405,UberFresh,11.63,177.785,
238,299,Out for Delivery,1397765347,,18729 Victoria Drive,SC,68481,201.5,12.09,UberMelon,13.91,227.5,
239,121,Delivered,1399514315,,18 Monterey Circle,IL,10229,514.25,30.855,UberMelonX,18.94,564.045,1399670932
242,896,New,1398408114,,47251 Melrose Place,MN,87808-5256,35,2.1,UberMelon,13.33,50.43,
243,6,New,1395228526,,60 Porter Circle,ND,92781-1437,25,1.5,UberMelon,7.3,33.8,
244,412,Delivered,1395740299,,2798 Talisman Crossing,ME,03254-2978,14,0.84,UberMelonX,9.28,24.12,1395910680
245,461,Out for Delivery,1399788354,56,032 Oneill Alley,AK,87449-7410,406.5,24.39,UberMelonX,5.2,436.09,
247,987,Out for Delivery,1400866291,,736 Valley Edge Alley,WA,54300-4007,15,0.9,UberMelonX,17.6,33.5,
249,669,Delivered,1399711204,134,968 Hazelcrest Junction,MS,81180-9448,141.5,8.49,UberMelon,5.7,155.69,1399742143
250,320,Canceled,1399499724,,601 Bashford Way,SC,26175-6329,228,13.68,UberMelon,5.28,246.96,
251,567,Canceled,1397079976,20,43 Nova Lane,IN,05675-5134,53.75,3.225,UberFresh,9.4,66.375,
252,59,Processing,1402536918,,0 Shopko Road,MT,40338,108.21,6.4926,UberFresh,13.47,128.1726,
254,228,Processing,1397120570,38,502 Montana Way,KS,00792-9549,10.89,0.6534,UberMelon,10.48,22.0234,
256,131,New,1399305353,70,26790 Portage Circle,TX,50287-3543,67.25,4.035,UberMelonX,7,78.285,
260,866,New,1401163595,,685 Porter Point,NC,38877-1551,457.5,27.45,UberFresh,2.93,487.88,
261,204,Canceled,1398700335,177,29716 Columbus Crossing,WY,32363,116,6.96,UberMelonX,17.4,140.36,
263,664,Canceled,1397247243,,64 Bluestem Road,IA,99453,15,0.9,UberFresh,4.94,20.84,
264,138,Out for Delivery,1396363708,,3694 American Street,ID,11095,66.42,3.9852,UberMelon,19.68,90.0852,
265,338,Processing,1395460938,,48657 Southridge Junction,NC,52211,105,6.3,UberMelonX,15.77,127.07,
266,684,Delivered,1394656906,40,8047 Roxbury Alley,WI,68508-1307,63.36,3.8016,UberMelon,7.44,74.6016,1394824356
267,631,New,1396211599,95,36820 Maywood Alley,MN,77732,110,6.6,UberMelon,5.22,121.82,
268,98,Delivered,1402408500,,620 Mendota Alley,NV,81999,2,0.12,UberMelonX,13.27,15.39,1402572438
269,240,Delivered,1400130003,39,357 Swallow Point,VA,82791,82.25,4.935,UberMelonX,12.31,99.495,1400161279
270,463,New,1400289678,143,820 Bluestem Junction,NH,83914-8952,34.49,2.0694,UberMelon,12.7,49.2594,
272,280,New,1395390505,103,5 3rd Park,NE,1102,220.25,13.215,UberMelonX,6.74,240.205,
274,642,Processing,1397502452,,104 Linden Road,NC,03874-7185,126,7.56,UberMelon,7.88,141.44,
276,3,Delivered,1395614064,64,41380 Loftsgordon Trail,FL,41959,39.25,2.355,UberMelonX,16.35,57.955,1395744242
279,268,Out for Delivery,1402243141,67,37 Debra Crossing,NV,53397-3178,30.5,1.83,UberFresh,6.47,38.8,
282,345,Out for Delivery,1395542577,,486 Park Meadow Lane,MN,44559-1854,116,6.96,UberMelonX,6.96,129.92,
283,616,Processing,1401273308,146,346 Lindbergh Terrace,HI,911,17,1.02,UberFresh,10.39,28.41,
284,663,Processing,1398133427,102,01694 8th Court,LA,68263-7678,67,4.02,UberMelonX,18.56,89.58,
286,371,Processing,1398082536,38,64385 Mcguire Place,MT,25543,115,6.9,UberMelonX,16.76,138.66,
289,236,New,1395633074,114,29 Maple Hill,VA,97069,20757.5,1245.45,UberMelonX,12.52,22015.47,
290,133,Out for Delivery,1396464098,214,23704 Sutherland Trail,RI,30998,211.5,12.69,UberMelon,14.64,238.83,
291,180,New,1397439135,76,7205 Linden Pass,UT,37983-4100,245.5,14.73,UberMelonX,8.7,268.93,
292,952,Canceled,1395826843,114,56 Eliot Crossing,SD,92449-0784,298.5,17.91,UberMelonX,19.65,336.06,
296,82,Canceled,1400562505,56,5319 6th Terrace,SC,31614,171.75,10.305,UberMelonX,2.78,184.835,
297,237,Delivered,1396328813,89,2 Bluestem Junction,DE,06893-2832,58,3.48,UberMelon,9.3,70.78,1396413422
299,29,Canceled,1402513904,33,08542 Trailsway Junction,VA,13266-0204,507.92,30.4752,UberMelon,5.72,544.1152,
301,217,Delivered,1395597831,221,362 Alpine Street,AK,92620,519.25,31.155,UberMelon,14.53,564.935,1395690285
302,44,Delivered,1397391923,149,15 Atwood Road,KY,45818,150,9,UberMelonX,6.95,165.95,1397437266
303,874,New,1398435410,120,52 Mallard Terrace,UT,21944-6975,30,1.8,UberFresh,17.83,49.63,
304,129,Out for Delivery,1396932729,243,850 Pleasure Lane,ID,84059,181.5,10.89,UberFresh,17.15,209.54,
306,487,Delivered,1395582981,,40357 Monterey Trail,CT,86243,42,2.52,UberFresh,2.25,46.77,1395666559
308,910,Processing,1396989507,,20957 Gerald Point,KS,38160,279.5,16.77,UberMelonX,18.72,314.99,
309,113,Canceled,1401595607,78,91035 Pleasure Crossing,SC,55661,1287.65,77.259,UberMelon,11.53,1376.439,
311,153,Delivered,1396724180,211,4196 Fuller Plaza,NV,94871-3854,237,14.22,UberFresh,10.71,261.93,1396836505
312,603,Processing,1395495882,43,9 Dakota Lane,CT,72340-0385,196.75,11.805,UberFresh,7.4,215.955,
315,974,Canceled,1401938498,,6475 Independence Circle,RI,95006,252,15.12,UberMelonX,10.86,277.98,
317,242,Processing,1394158557,137,1 Stang Trail,WA,82840-3196,66,3.96,UberFresh,3.97,73.93,
318,566,Canceled,1395576225,234,2 Oneill Lane,TX,94584-4804,56.5,3.39,UberFresh,13.08,72.97,
319,698,Delivered,1400105751,87,17 Homewood Center,AR,88803-2827,21,1.26,UberFresh,8.75,31.01,1400216815
320,944,Canceled,1400921648,250,1345 Sycamore Lane,VT,36618-6104,60.5,3.63,UberMelonX,15.72,79.85,
322,454,Canceled,1401054567,5,40365 Gale Way,IN,63343,182.5,10.95,UberFresh,17.65,211.1,
323,809,Delivered,1394394969,,8935 Esker Lane,KS,90436,760,45.6,UberMelon,6.94,812.54,1394460849
324,570,Canceled,1398325229,,02436 Chinook Center,MS,15744,770,46.2,UberMelon,13.73,829.93,
325,350,Out for Delivery,1402172809,132,7421 Truax Road,TX,59643,190.5,11.43,UberMelon,13.23,215.16,
326,697,Delivered,1400573276,,417 David Park,NY,87292,42.45,2.547,UberFresh,3.39,48.387,1400624659
327,723,Out for Delivery,1402096159,24,06 Waywood Terrace,NE,12718,260.47,15.6282,UberMelon,10.39,286.4882,
328,97,Out for Delivery,1401950639,,54 Lighthouse Bay Lane,NH,73976-6227,54.75,3.285,UberFresh,17.52,75.555,
329,857,Processing,1401555819,,1 Dwight Court,VA,9937,258.5,15.51,UberMelonX,14.62,288.63,
330,472,Canceled,1397453819,171,9 Shelley Pass,OR,68957-9825,109.5,6.57,UberMelonX,18.31,134.38,
331,327,Processing,1398202496,,18 Utah Lane,DE,12850,52.5,3.15,UberFresh,3.01,58.66,
332,759,Out for Delivery,1398047862,,9 Meadow Valley Terrace,NV,61145-6003,58.75,3.525,UberFresh,15.79,78.065,
333,193,Out for Delivery,1394745505,45,396 Atwood Parkway,NJ,73544-2019,44.43,2.6658,UberMelon,7.59,54.6858,
334,986,New,1401937683,185,9 Nova Trail,MI,86777-9040,92.25,5.535,UberMelonX,16.32,114.105,
336,222,Canceled,1394187499,174,435 Westend Crossing,AL,66351-3853,74.5,4.47,UberMelon,6.53,85.5,
337,726,Delivered,1394421863,,5389 Shasta Hill,CO,50887-8783,217.5,13.05,UberMelon,3.83,234.38,1394434910
338,627,New,1395236567,198,8 Pierstorff Junction,PA,84235-3182,182,10.92,UberMelonX,10.05,202.97,
341,63,Out for Delivery,1396300623,222,546 Dwight Street,NE,69858,20,1.2,UberMelonX,14.2,35.4,
343,92,Out for Delivery,1395185390,,498 Pennsylvania Trail,UT,60259,106,6.36,UberFresh,13.51,125.87,
345,971,Canceled,1397106258,,76035 School Lane,RI,46358-1908,142.72,8.5632,UberMelonX,9.14,160.4232,
347,902,Processing,1399234688,219,079 Declaration Alley,OH,32795,130,7.8,UberMelonX,16.95,154.75,
349,330,Processing,1397001985,176,1 Logan Parkway,KS,19691,102.92,6.1752,UberFresh,18.61,127.7052,
350,907,Delivered,1395226366,,14 Myrtle Road,NH,55525-6922,111.75,6.705,UberFresh,2.62,121.075,1395304903
351,13,Delivered,1400929600,,78165 Burning Wood Road,VA,308,28.49,1.7094,UberMelonX,14.12,44.3194,1401005260
353,577,Processing,1402449088,,7 La Follette Way,NJ,66397-9389,1356,81.36,UberMelonX,13.53,1450.89,
355,16,Processing,1395044894,,65210 Wayridge Crossing,NJ,94987,128,7.68,UberFresh,3.32,139,
356,134,Canceled,1401860292,,9257 Barby Street,NH,69297-2405,59,3.54,UberMelon,14.61,77.15,
357,339,New,1400847268,,473 Arkansas Avenue,MI,50401-0402,31,1.86,UberMelonX,5.12,37.98,
360,158,Canceled,1399598310,197,5 Rigney Terrace,CO,00971-0800,87.25,5.235,UberFresh,8.24,100.725,
361,379,Canceled,1395406809,199,1 North Crossing,WA,36164,1933,115.98,UberFresh,11.88,2060.86,
